vol age owner nuts species area
1 8 private DE2 spruce 0
1 8 private DE3_4 beech 0
1 8 private DE3_4 spruce 0
1 8 private DE7 beech 0
1 8 private DE7 spruce 0
1 8 private DE8 beech 0
1 8 private DE8 spruce 0
1 8 private DE9_5_6 beech 0
1 8 private DE9_5_6 spruce 397.707273697315
1 8 private DEA beech 0
1 8 private DEA spruce 0
1 8 private DEB beech 0
1 8 private DEB spruce 0
1 8 private DEC beech 0
1 8 private DEC spruce 0
1 8 private DED beech 0
1 8 private DED spruce 0
1 8 private DEE beech 0
1 8 private DEE spruce 0
1 8 private DEF beech 0
1 8 private DEF spruce 0
1 8 private DEG beech 0
1 8 private DEG spruce 200.194405789034
1 9 communal DE1 beech 0
1 9 communal DE1 spruce 0
1 9 communal DE2 beech 0
1 9 communal DE2 spruce 0
1 9 communal DE3_4 beech 0
1 9 communal DE3_4 spruce 0
1 9 communal DE7 beech 0
1 9 communal DE7 spruce 0
1 9 communal DE8 beech 0
1 9 communal DE8 spruce 0
1 9 communal DE9_5_6 beech 0
1 9 communal DE9_5_6 spruce 0
1 9 communal DEA beech 0
1 9 communal DEA spruce 0
1 9 communal DEB beech 0
1 9 communal DEB spruce 298.733542551453
1 9 communal DEC beech 0
1 9 communal DEC spruce 395.41389329085
1 9 communal DED beech 0
1 9 communal DED spruce 0
1 9 communal DEE beech 0
1 9 communal DEE spruce 0
1 9 communal DEF beech 0
1 9 communal DEF spruce 0
1 9 communal DEG beech 0
1 9 communal DEG spruce 0
1 9 land DE1 beech 0
1 9 land DE1 spruce 0
1 9 land DE2 beech 0
1 9 land DE2 spruce 0
1 9 land DE3_4 beech 0
1 9 land DE3_4 spruce 0
